Total population,Total households,PCT WHITE COLLAR,PCT BLUE COLLAR,Median income,Mean income,id,Geographic Area Name
4555,2097,82.9,17.1,55035,70142,1400000US48029121117,"Census Tract 1211.17, Bexar County, Texas"
5718,2471,71.3,28.7,74519,78837,1400000US48029121118,"Census Tract 1211.18, Bexar County, Texas"
5836,2513,70.9,29.1,60099,67154,1400000US48029121119,"Census Tract 1211.19, Bexar County, Texas"
5110,2051,75.5,24.5,57667,65974,1400000US48029121120,"Census Tract 1211.20, Bexar County, Texas"
2978,1094,89.3,10.8,95074,99150,1400000US48029121121,"Census Tract 1211.21, Bexar County, Texas"
5157,1971,84.1,15.9,74375,81843,1400000US48029121122,"Census Tract 1211.22, Bexar County, Texas"
3296,1632,40.6,59.5,31798,39451,1400000US48029121203,"Census Tract 1212.03, Bexar County, Texas"
7217,4399,64.9,35,34028,48270,1400000US48029121204,"Census Tract 1212.04, Bexar County, Texas"
3294,1577,48.5,51.5,39630,49513,1400000US48029121205,"Census Tract 1212.05, Bexar County, Texas"
7240,2656,61.1,38.9,58096,65761,1400000US48029121206,"Census Tract 1212.06, Bexar County, Texas"
6120,2818,67.6,32.4,60473,73456,1400000US48029121300,"Census Tract 1213, Bexar County, Texas"
5139,1709,50,50,46420,47858,1400000US48029121402,"Census Tract 1214.02, Bexar County, Texas"
4941,2086,54.9,45.1,37682,41085,1400000US48029121403,"Census Tract 1214.03, Bexar County, Texas"
4976,2153,36.4,63.6,20440,27793,1400000US48029121404,"Census Tract 1214.04, Bexar County, Texas"
7214,2748,68.1,31.9,62043,68608,1400000US48029121501,"Census Tract 1215.01, Bexar County, Texas"
5597,2891,66.8,33.2,49671,55155,1400000US48029121504,"Census Tract 1215.04, Bexar County, Texas"
4768,1806,63.6,36.5,51334,52865,1400000US48029121505,"Census Tract 1215.05, Bexar County, Texas"
5746,2192,42.9,57.1,51732,59132,1400000US48029121506,"Census Tract 1215.06, Bexar County, Texas"
5202,1981,53.3,46.7,58350,70695,1400000US48029121507,"Census Tract 1215.07, Bexar County, Texas"
5426,1936,49.6,50.4,35665,46245,1400000US48029121508,"Census Tract 1215.08, Bexar County, Texas"
5138,2231,57.4,42.6,31976,45849,1400000US48029121601,"Census Tract 1216.01, Bexar County, Texas"
6644,2596,63.2,36.8,58101,64353,1400000US48029121604,"Census Tract 1216.04, Bexar County, Texas"
2207,851,49.8,50.3,58064,62237,1400000US48029121605,"Census Tract 1216.05, Bexar County, Texas"
4731,2165,58.8,41.3,45976,53189,1400000US48029121606,"Census Tract 1216.06, Bexar County, Texas"
3733,1588,57,43,48024,56545,1400000US48029121701,"Census Tract 1217.01, Bexar County, Texas"
6540,2705,79.1,21.1,81047,93900,1400000US48029121702,"Census Tract 1217.02, Bexar County, Texas"
7378,2645,68.6,31.4,61768,66417,1400000US48029121802,"Census Tract 1218.02, Bexar County, Texas"
4750,1608,61.3,38.8,56953,61187,1400000US48029121803,"Census Tract 1218.03, Bexar County, Texas"
6617,2491,66.8,33.2,39764,50589,1400000US48029121804,"Census Tract 1218.04, Bexar County, Texas"
3154,1103,81.8,18.2,73194,87117,1400000US48029121808,"Census Tract 1218.08, Bexar County, Texas"
